id,State,match,year,Population,Violent_Crime_rate,MNMR,MNMR_rank,rape,rape_rank,robbery_rate,robbery_rate_rank,assault_rate,assault_rate_rank,property_crime_rate,property_crime_rate_rank,burglary_rate,burglary_rate_rank,larceny_theft_rate,larceny_theft_rate_rank,motor_vehicle_theft_rate,motor_vehicle_theft_rate_rank
RI,Rhode Island,44,1966,898000,94.5,1.4,51,5,45,25.4,35,62.7,35,2484.3,19,707.6,16,1262.7,29,514,3
SD,South Dakota,46,1966,682000,83.3,1.5,49,8.9,35,10,47,62.9,34,1430.6,42,318.9,48,1021.1,37,90.6,47
VT,Vermont,50,1966,405000,19.8,1.5,50,6.9,40,4,51,7.4,51,1097.3,49,427.9,38,552.6,49,116.8,43
IA,Iowa,19,1966,2747000,44.2,1.6,48,4.8,48,12.8,45,25,48,1599.6,40,336.5,47,1131.2,32,131.9,41
NE,Nebraska,31,1966,1456000,64.6,1.8,46,6.7,41,24.9,36,31.3,46,1861,34,420.1,40,1267,28,173.8,36
ND,North Dakota,38,1966,650000,35.5,1.8,47,4.3,50,6.2,49,23.2,49,1171.5,47,221.4,51,862.9,44,87.2,48
NH,New Hampshire,33,1966,681000,38,1.9,44,4.4,49,10.3,46,21.4,50,1100,48,349.8,45,647.7,48,102.5,46
WI,Wisconsin,55,1966,4161000,47.7,1.9,45,3.6,51,12.9,44,29.2,47,1851.8,35,344.8,46,1315.5,24,191.6,34
CT,Connecticut,10,1966,2875000,74.6,2,42,6,43,20.9,40,45.8,41,1907.6,33,616.6,23,1040.7,36,250.3,21
UT,Utah,49,1966,1008000,113.9,2,43,10.2,27,36.5,27,65.2,32,3216.4,8,689.7,17,2262.5,3,264.2,20
ME,Maine,23,1966,983000,49.4,2.2,40,4.9,46,5.9,50,36.4,45,1377.7,44,364,43,907.1,40,106.6,44
MN,Minnesota,27,1966,3576000,103.2,2.2,41,7.3,39,49.4,19,44.4,43,2130.9,26,579.2,27,1305.5,25,246.3,22
MA,Massachusetts,25,1966,5383000,115.2,2.4,39,6.4,42,46,20,60.5,37,2160.1,24,619.1,22,989.1,38,551.8,2
WA,Washington,53,1966,2980000,123.3,2.5,38,11.6,20,36.7,26,72.4,27,2976,11,669.7,19,2065.9,6,240.4,24
OR,Oregon,41,1966,1955000,126.3,2.7,37,12.6,17,45.8,21,65.2,33,2860.9,12,685.1,18,1935.5,10,240.2,25
MT,Montana,30,1966,702000,72.2,2.8,36,9,34,17.8,42,42.6,44,2283.8,21,496,33,1555.1,19,232.6,27
HI,Hawaii,15,1966,718000,83.3,2.9,35,4.9,47,21.6,38,53.9,38,3419.9,4,1129.7,3,1971,8,319.2,13
ID,Idaho,16,1966,694000,66.4,3,34,9.5,31,7.8,48,46.1,40,1945,31,389.9,41,1451.9,21,103.2,45
PA,Pennsylvania,42,1966,11582000,131,3.3,33,10.9,23,50.2,18,66.6,31,1362.2,45,423.7,39,728.7,47,209.9,30
KS,Kansas,20,1966,2250000,111.9,3.5,31,8.9,36,29.6,32,69.9,28,1990.2,29,476.1,36,1366.3,23,147.8,39
NJ,New Jersey,34,1966,6898000,161.9,3.5,32,9.3,32,63.7,12,85.4,23,2166.6,23,712.9,14,1121.7,33,332,12
CO,Colorado,8,1966,1977000,168.9,4,29,17.3,6,53.8,17,93.8,22,2840.7,14,711,15,1831.3,12,298.3,14
IN,Indiana,18,1966,4918000,146.3,4,30,10.6,26,62.8,13,68.9,29,2189.8,22,627.5,20,1286.7,26,275.5,16
WV,West Virginia,54,1966,1794000,89.9,4.2,28,5.1,44,19.1,41,61.5,36,846.6,50,259.3,49,509.8,50,77.5,50
OH,Ohio,39,1966,10305000,151.6,4.5,27,9.3,33,70,10,67.8,30,1947.1,30,490.7,34,1220.9,31,235.5,26
CA,California,6,1966,18918000,305.1,4.6,26,23.4,2,118,6,159.1,9,4244.3,1,1277.4,2,2506.2,2,460.7,4
NY,New York,36,1966,18258000,342.6,4.8,25,13.4,16,164.8,3,159.6,8,2995.4,10,1074.2,4,1568.7,18,352.5,11
WY,Wyoming,56,1966,329000,83,4.9,24,12.2,18,21,39,45,42,2132.5,25,383.9,42,1597.9,17,150.8,38
MI,Michigan,26,1966,8374000,332.1,5,23,28.2,1,155.1,4,143.8,14,3376.2,7,984,6,2038.7,7,353.5,10
MO,Missouri,29,1966,4508000,247.3,5.4,22,17.6,5,105.8,7,118.5,18,2673,15,782.2,10,1606.3,15,284.6,15
OK,Oklahoma,40,1966,2458000,144.5,5.5,21,13.7,13,41.3,25,84.1,24,2048.7,28,611.7,24,1240.2,30,196.7,32
AZ,Arizona,4,1966,1618000,202.2,6.1,20,18.3,4,55.5,16,122.4,16,3933.6,3,931.1,8,2630.1,1,372.3,9
NM,New Mexico,35,1966,1022000,217.3,6.3,19,13.5,15,44.8,22,152.7,11,3046.3,9,917.8,9,1856.3,11,272.2,17
IL,Illinois,17,1966,10722000,364.8,6.9,18,16.6,7,184.9,2,156.4,10,2394.4,20,560.5,29,1418.6,22,415.3,7
KY,Kentucky,21,1966,3183000,131.7,7,16,8.3,37,42.8,24,73.5,26,1606.7,39,482.6,35,896.4,41,227.7,29
MD,Maryland,24,1966,3613000,311,7,17,15.3,10,123.7,5,164.9,7,2852.6,13,754.3,13,1668.1,13,430.2,6
AR,Arkansas,5,1966,1955000,162.9,7.1,15,9.8,28,29.4,33,116.6,19,1219.9,46,360.3,44,774.4,46,85.2,49
TN,Tennessee,47,1966,3883000,158.3,7.8,14,10.8,24,34.4,30,105.2,20,1658.6,38,602.5,25,863.1,43,193.1,33
VA,Virginia,51,1966,4507000,230.7,8.1,13,12,19,44.5,23,166.2,6,2098,27,620.5,21,1272.2,27,205.3,31
DE,Delaware,11,1966,512000,127.9,9,12,9.6,30,58.6,14,50.8,39,2491.8,18,762.3,12,1458.8,20,270.7,18
TX,Texas,48,1966,10752000,226.8,9.1,11,11.5,21,55.7,15,150.4,12,2645.8,16,768.7,11,1646.1,14,231,28
NC,North Carolina,37,1966,5000000,295.5,9.2,10,10.8,25,24.3,37,251.3,2,1408.7,43,442.7,37,825.2,45,140.9,40
MS,Mississippi,28,1966,2327000,150.6,9.7,9,8,38,13.3,43,119.6,17,746.6,51,238.4,50,448.6,51,59.6,51
LA,Louisiana,22,1966,3603000,241.2,9.9,8,16.6,8,66.8,11,147.9,13,1917,32,578.5,28,1073.7,34,264.8,19
FL,Florida,12,1966,5941000,337.8,10.3,7,14.7,11,99.9,8,213,3,3378.5,6,1057.7,5,2077.5,5,243.3,23
NV,Nevada,32,1966,454000,217.4,10.6,6,11.5,22,96.9,9,98.5,21,3407.9,5,931.5,7,2091.2,4,385.2,8
AL,Alabama,1,1966,3517000,230.3,10.9,5,9.7,29,32,31,177.7,4,1528,41,527.5,32,869.6,42,131,42
GA,Georgia,13,1966,4459000,203.3,11.3,4,14.6,12,34.9,29,142.6,15,1676.5,37,551.2,30,943.5,39,181.7,35
SC,South Carolina,45,1966,2586000,226,11.6,3,13.6,14,28.8,34,172,5,1756.5,36,536.2,31,1060.2,35,160.2,37
AK,Alaska,2,1966,272000,150.4,12.9,2,19.5,3,36,28,82,25,2635.3,17,593,26,1600.7,16,441.5,5
DC,Columbia,9,1966,808000,885.5,17.5,1,16.6,9,458.3,1,393.2,1,4057.2,2,1299.3,1,1945.4,9,812.5,1
ND,North Dakota,38,1967,639000,29,0.2,51,4.7,47,5.8,50,18.3,50,1370.4,47,241.2,51,1046.9,37,82.3,50
ME,Maine,23,1967,973000,63.8,0.4,50,6,41,9.7,48,47.8,45,1559.1,43,457.6,42,990.4,40,111.1,46
IA,Iowa,19,1967,2753000,58.4,1.5,49,5.6,42,21,41,30.3,48,1822.6,38,431.6,45,1235.8,33,155.2,40
MN,Minnesota,27,1967,3582000,132,1.6,48,8.6,35,67.1,17,54.7,42,2461.2,22,704.4,22,1464.4,25,292.4,20
WI,Wisconsin,55,1967,4189000,70.4,1.9,47,4.6,49,28,39,35.9,47,2161.8,32,450.3,43,1496.8,23,214.6,33
NH,New Hampshire,33,1967,686000,31.8,2,46,3.4,51,6.1,49,20.3,49,1086.7,49,342.6,47,632.4,48,111.8,45
RI,Rhode Island,44,1967,900000,128.4,2.2,45,4.8,46,31.4,38,90,25,3007.9,15,896.9,10,1502.1,21,608.9,3
CT,Connecticut,10,1967,2925000,95.9,2.4,42,5.6,43,32.2,36,55.7,41,2185.4,30,751.7,19,1112.6,35,321.1,18
HI,Hawaii,15,1967,739000,80,2.4,43,5,45,19.8,42,52.8,43,3639.4,7,1152.4,6,2082.8,10,404.2,12
MT,Montana,30,1967,701000,83.9,2.4,44,10.3,29,21.4,40,49.8,44,2373.2,25,522.3,35,1635.2,17,215.7,32
NE,Nebraska,31,1967,1435000,113.2,2.7,40,8.2,37,38.7,29,63.6,39,1979.6,34,491.7,39,1299.7,31,188.2,36
UT,Utah,49,1967,1024000,116.6,2.7,41,7.2,40,38.5,30,68.2,34,3127.8,12,685.5,25,2217,6,225.3,31
MA,Massachusetts,25,1967,5421000,127.6,2.8,39,7.6,38,52,24,65.2,38,2354.5,26,675.5,26,1011.6,39,667.4,2
OR,Oregon,41,1967,1999000,157.4,3.1,36,12.4,23,65.9,18,76.1,31,3307.7,11,857.4,13,2176.8,8,273.4,25
VT,Vermont,50,1967,417000,20.6,3.1,37,4.3,50,1.9,51,11.3,51,1201.2,48,517,36,559.2,49,124.9,43
WA,Washington,53,1967,3087000,154,3.1,38,12.5,21,54.6,22,83.7,29,3582.7,8,837.7,15,2463.5,5,281.5,23
SD,South Dakota,46,1967,674000,86.9,3.7,35,8.3,36,12.9,45,62,40,1469.7,45,341.5,48,1044.1,38,84.1,49
IN,Indiana,18,1967,5000000,162.9,3.8,34,12.7,20,78.7,13,67.8,35,2429.6,23,701.5,23,1389.3,28,338.9,16
NJ,New Jersey,34,1967,7003000,188.5,3.9,32,9.7,32,82.5,11,92.4,24,2549.1,20,861.4,11,1262.5,32,425.3,8
PA,Pennsylvania,42,1967,11629000,138.6,3.9,33,9.9,31,57.9,20,66.9,37,1527.9,44,487.7,40,803.9,47,236.3,30
KS,Kansas,20,1967,2275000,142.8,4,31,10.7,27,42.2,27,86,28,2331.7,28,598.2,32,1548.6,20,184.9,37
CO,Colorado,8,1967,1975000,191.8,4.1,30,20.9,4,67.9,16,98.9,21,3117.2,13,789.4,18,2019.5,11,308.4,19
ID,Idaho,16,1967,699000,68.4,4.3,29,8.7,34,10.9,46,44.5,46,1837.3,37,405.9,46,1318.6,30,112.9,44
WV,West Virginia,54,1967,1798000,97,4.6,28,4.7,48,19.3,43,68.4,33,927.8,50,298.4,49,542,50,87.4,47
WY,Wyoming,56,1967,315000,93.3,4.8,27,7.3,39,13.7,44,67.6,36,2318.7,29,506,38,1637.8,16,174.9,38
OH,Ohio,39,1967,10458000,185,5.2,26,10.3,30,95,10,74.5,32,2333.4,27,607.6,31,1400.2,27,325.6,17
CA,California,6,1967,19153000,352.1,5.4,24,25,2,149,6,172.7,6,4703,2,1446,2,2748.8,2,508.1,4
NY,New York,36,1967,18336000,409.7,5.4,25,14.5,14,219.3,2,170.5,8,3367.2,10,1195.2,4,1715.1,15,456.9,7
AZ,Arizona,4,1967,1634000,238.2,5.6,23,16.7,9,74.9,14,141,16,4599.8,3,1137.3,7,3055.3,1,407.2,10
MI,Michigan,26,1967,8584000,389,6.5,22,26.6,1,188.6,5,167.3,10,3673.1,6,1160.6,5,2123.5,9,389,13
NM,New Mexico,35,1967,1003000,231.8,6.6,21,15.5,11,45.5,26,164.3,12,3038.6,14,851.3,14,1932,13,255.2,27
OK,Oklahoma,40,1967,2495000,148.4,6.7,20,13.7,17,39.1,28,88.9,27,2166.1,31,626.5,29,1348.9,29,190.7,35
KY,Kentucky,21,1967,3189000,140.6,7.2,19,9.1,33,47.1,25,77.2,30,1715.6,40,482.9,41,950.9,42,281.8,22
IL,Illinois,17,1967,10893000,394.3,7.3,17,17.9,6,200.9,4,168.3,9,2516.2,21,608.5,30,1486.1,24,421.7,9
MO,Missouri,29,1967,4603000,276.9,7.3,18,17.1,8,130.5,8,122.1,19,2846.8,17,861.1,12,1630.7,19,355,15
MD,Maryland,24,1967,3682000,474.1,8,16,19.6,5,212.1,3,234.5,3,3436.2,9,1014.8,9,1932.3,12,489.1,5
DE,Delaware,11,1967,524000,180.9,8.6,15,11.5,25,65.5,19,95.4,23,2710.7,19,832.1,16,1500.2,22,378.4,14
MS,Mississippi,28,1967,2348000,113.8,8.7,14,5.5,44,10.6,47,89,26,786.4,51,257.8,50,471.9,51,56.7,51
AR,Arkansas,5,1967,1968000,219.5,8.8,13,14.2,16,35.2,33,161.3,13,1408.9,46,443.9,44,879.1,46,86,48
TN,Tennessee,47,1967,3892000,208.4,8.9,12,12.5,22,56.5,21,130.5,17,1899.2,35,711.8,21,944.2,43,243.1,28
